,name,rank,circulating_supply,all_time_high,all_time_low,7_days_high,7_days_low
404,basic-attention-token,50,1486368945,0.980702,0.066209,0.223734 ,0.182298
405,karatgold-coin,458,4728252687,0.126064,0.001534,0.004819 ,0.001984
406,holo,106,166622505030,0.002538,0.000219,0.000542 ,0.000454
407,trustverse,494,420720687,0.060593,0.006130,0.027635 ,0.020823
408,prometeus,407,6120000,3.71,0.100493,2.88 ,2.05
409,mainframe,342,10000000000,0.024557,0.000382,0.002192 ,0.001796
410,einsteinium,481,220732432,2.88,0.000025,0.059875 ,0.044781
411,omg,36,140245398,28.35,0.319695,3.65 ,2.77
412,cindicator,357,2000000005,0.347056,0.002262,0.009884 ,0.008375
413,coti,386,568032883,0.127076,0.006226,0.036924 ,0.026420
414,c20,284,40402710,3.96,0.163678,0.699329 ,0.609361
415,mvl,473,10068601614,0.012612,0.000162,0.001429 ,0.001021
416,the-transfer-token,322,26421791,5.38,0.360956,0.969492 ,0.627293
417,zilliqa,64,10574614387,0.231489,0.002477,0.020039 ,0.016813
418,native-utility-token,312,982854,30.30,18.68,24.12 ,21.06
419,sushiswap,94,142885382,11.93,0.591602,0.707540 ,0.591602
420,bankera,258,24618912108,0.011372,0.000421,0.001771 ,0.001320
421,curve-dao-token,148,104485090,60.50,0.331598,0.623820 ,0.331598
422,komodo,126,122484282,10.00,0.002143,0.551687 ,0.451275
423,super-zero-protocol,181,295512535,0.343686,0.029989,0.107370 ,0.087146
424,velas,93,2105528106,0.090082,0.011618,0.047046 ,0.035575
425,aave,45,10681050,57.85,27.79,42.55 ,27.79
426,melon,178,1492260,270.04,1.80,26.10 ,17.86
427,iotex,112,9734304442,0.088037,0.001239,0.007866 ,0.006318
428,ultra,303,279621740,0.737020,0.019822,0.094541 ,0.077622
429,massnet,307,86517566,0.706602,0.203692,0.293688 ,0.245922
430,counos-coin,234,14848324,20.48,2.03,5.94 ,5.05
431,handshake,184,318258930,0.476902,0.075519,0.111985 ,0.081275
432,balancer,109,6943831,37.86,7.88,13.13 ,10.13
433,ethereum-classic,"$801,714,689 USD",116313299,47.77,0.452446,5.65,5.24
434,rakon,495,123655936,0.150045,0.041719,0.088984 ,0.074215
435,justliquidity,374,422784,89.04,14.73,41.04 ,24.73
436,lisk,72,126269713,39.31,0.095652,1.13 ,1.03
437,firstblood,488,85558371,2.85,0.016391,0.160682 ,0.103109
438,aidos-kuneen,505,25000000,97.51,0.058187,0.463566 ,0.287665
439,helper-search-token,232,8479947437,0.026853,8.00e-8,0.009375 ,0.008704
440,nervenetwork,279,251264625,0.368264,0.061264,0.139447 ,0.061264
441,tellor,179,1522654,89.66,1.11,29.85 ,18.77
442,joule,252,1010499999,0.057913,0.026312,0.055040 ,0.041323
443,tnc-coin,212,2310424689,0.320208,0.038309,0.110528 ,0.095837
444,yearn-finance-ii,136,38596,9405.23,96.29,"1,944.75 ","1,189.67"
445,sport-and-leisure,396,676171453,0.027349,0.005388,0.023952 ,0.020726
446,eterbase-utility-token,,,,,,
447,binance-usd,27,717230505,1.11,0.886124,1.00 ,0.999700
448,phala-network,400,137000000,0.234452,0.088758,0.190616 ,0.104800
449,bhp-coin,437,20177578,2.23,0.445881,0.616755 ,0.589664
450,livepeer,268,20807058,9.98,0.420587,2.06 ,1.63
451,synthetix-network-token,42,104654934,7.86,0.032420,3.93 ,2.96
452,newscrypto,368,95233119,0.284351,0.016278,0.198353 ,0.170307
453,vechain,"$114,308,436 USD",64315576989,0.022917,0.001678,0.012571,0.009928
454,chimpion,287,31727387,1.19,0.005204,1.02 ,0.630251
455,aergo,460,264019890,0.532361,0.016102,0.047590 ,0.039839
456,beowulf,350,1000000099,0.039312,0.014612,0.023208 ,0.014612
457,digibyte,51,13696178436,0.142889,0.000020,0.022017 ,0.018739
458,zynecoin,307,22138879,5.24,0.235939,1.04 ,0.952043
459,qcash,241,460000200,0.217041,0.123382,0.152442 ,0.149627
460,nem,25,8999999999,2.09,0.000079,0.113154 ,0.088808
461,binance-coin,7,144406561,39.57,0.096109,32.35 ,28.21
462,hashgard,322,99144999910,0.000630,0.000010,0.000244 ,0.000203
463,horizen,127,10263775,67.29,3.09,5.97 ,5.21
464,bdcc-bitica-coin,383,3623082,19.44,0.056823,6.49 ,3.06
465,drep,446,3987164299,0.005878,0.000689,0.004657 ,0.002935
466,request,355,999966001,1.18,0.004651,0.022663 ,0.016869
467,dynamic-trading-rights,298,1623057143,0.238834,0.004496,0.018133 ,0.013464
468,chiliz,141,4920737861,0.022039,0.004001,0.010941 ,0.008934
469,bit-z-token,408,125046555,0.303155,0.063697,0.119738 ,0.106675
470,maker,34,1003154,1773.92,21.06,602.96 ,516.78
471,b2bx,399,19629794,5.67,0.115088,0.784973 ,0.750026
472,dad,200,134601733,0.640672,0.097052,0.200385 ,0.154605
473,ftx-token,39,94346958,4.51,0.831290,4.21 ,3.68
474,carry,503,5796041277,0.079546,0.000810,0.001798 ,0.001582
475,augur,71,11000000,99.80,0.782968,13.42 ,12.08
476,fusion,447,47297456,9.38,0.077527,0.287189 ,0.247719
477,crpt,313,88960392,3.00,0.065518,0.248644 ,0.202109
478,hxro,143,181986452,0.266542,0.008749,0.266542 ,0.207424
479,thunder-token,186,5887903653,0.029818,0.002613,0.004983 ,0.004584
480,kucoin-shares,113,80728394,21.14,0.323177,0.909643 ,0.835649
481,tachyon-protocol,464,266858531,0.186768,0.035752,0.053604 ,0.039652
482,gxchain,193,70000000,9.99,0.191197,0.463929 ,0.351101
483,wom-protocol,308,100207450,0.439962,0.040414,0.268999 ,0.209504
484,bitcoin-gold,73,17513924,539.72,4.31,8.01 ,7.15
485,arweave,104,33394701,7.81,0.485450,3.07 ,2.23
486,quantum-resistant-ledger,483,72456737,4.17,0.040836,0.157685 ,0.129773
487,ripio-credit-network,331,508404746,0.516849,0.010016,0.052311 ,0.037545
488,bitbook-gambling,247,357687491,0.222950,0.055828,0.171385 ,0.150887
489,airswap,368,150000000,2.08,0.007028,0.134184 ,0.101197
490,rocket-pool,276,10279742,4.92,0.091175,3.79 ,2.80
491,beldex,226,980222595,0.171587,0.014400,0.092341 ,0.078471
492,origin-protocol,345,130353924,0.638066,0.103215,0.174594 ,0.133865
493,titanswap,277,53404160,0.686332,0.250940,0.686332 ,0.456568
494,nexo,90,560000011,0.539466,0.043333,0.169854 ,0.138413
495,stormx,"$1,678,464 USD",7529229691,0.246579,0.000572,0.002363,0.001912
496,nexxo,454,214654884,0.055830,0.000288,0.055294 ,0.038665
497,quark,514,266998903,0.307567,0.000080,0.037367 ,0.032854
498,neo,21,70538831,196.85,0.072287,18.47 ,14.36
499,stellar,17,20876025180,0.938144,0.001227,0.086336 ,0.075368
